CellSwc[0].Dend[831],CellSwc[2].Dend[11387],0.962365
CellSwc[0].Dend[668],CellSwc[2].Dend[11401],5.260316
CellSwc[0].Dend[597],CellSwc[2].Dend[11555],5.007861
CellSwc[0].Dend[969],CellSwc[2].Dend[9392],4.011789
CellSwc[0].Dend[626],CellSwc[2].Dend[11403],2.002548
CellSwc[0].Dend[892],CellSwc[2].Dend[9376],5.771118
CellSwc[0].Dend[750],CellSwc[2].Dend[10844],2.992284
CellSwc[0].Dend[1009],CellSwc[2].Dend[9366],7.028201
CellSwc[0].Dend[835],CellSwc[2].Dend[10361],1.825969
CellSwc[0].Dend[923],CellSwc[2].Dend[9728],5.416838
